project,operational_type,notes
CAISO_CHP,must_run,
CAISO_Nuclear,always_on,CAISO nuclear is allowed to ramp down to 72% of Pmax
CAISO_CCGT1,dispatchable_capacity_commit,
CAISO_CCGT1_Planned,dispatchable_capacity_commit,
CAISO_CCGT2,dispatchable_capacity_commit,
CAISO_Peaker1,dispatchable_capacity_commit,
CAISO_Peaker1_Planned,dispatchable_capacity_commit,
CAISO_Peaker2,dispatchable_capacity_commit,
CAISO_Peaker2_Planned,dispatchable_capacity_commit,
CAISO_Advanced_CCGT,dispatchable_capacity_commit,
CAISO_Aero_CT,dispatchable_capacity_commit,
CAISO_Reciprocating_Engine,dispatchable_capacity_commit,
CAISO_Reciprocating_Engine_Candidate,dispatchable_capacity_commit,
CAISO_ST,dispatchable_capacity_commit,
CAISO_Shed_DR_Existing,dispatchable_no_commit,Check that this will work
CAISO_Shed_DR_Tranche1,dispatchable_no_commit,Check that this will work
CAISO_Shed_DR_Tranche2,dispatchable_no_commit,Check that this will work
CAISO_Shed_DR_Tranche3,dispatchable_no_commit,Check that this will work
CAISO_Shed_DR_Tranche4,dispatchable_no_commit,Check that this will work
CAISO_Shed_DR_Tranche5,dispatchable_no_commit,Check that this will work
CAISO_Shed_DR_Tranche6,dispatchable_no_commit,Check that this will work
CAISO_Shed_DR_Tranche7,dispatchable_no_commit,Check that this will work
CAISO_Shed_DR_Tranche8,dispatchable_no_commit,Check that this will work
NW_Nuclear,must_run,
NW_Coal,dispatchable_capacity_commit,"Has a 24 hour min up/down time, so will have to be either on or off, but don't force it to be on"
NW_CCGT,dispatchable_capacity_commit,
NW_Peaker,dispatchable_capacity_commit,
SW_Nuclear,must_run,
SW_Coal,dispatchable_capacity_commit,
SW_CCGT,dispatchable_capacity_commit,
SW_Peaker,dispatchable_capacity_commit,
LDWP_Nuclear,must_run,
LDWP_Coal,dispatchable_capacity_commit,
LDWP_CCGT,dispatchable_capacity_commit,
LDWP_Peaker,dispatchable_capacity_commit,
IID_CCGT,dispatchable_capacity_commit,
IID_Peaker,dispatchable_capacity_commit,
BANC_CCGT,dispatchable_capacity_commit,
BANC_Peaker,dispatchable_capacity_commit,
CAISO_Existing_Pumped_Storage,storage_generic,
CAISO_Storage_Mandate,storage_generic,
CAISO_New_Pumped_Storage,storage_generic,
CAISO_New_Flow_Battery,storage_generic,
CAISO_New_Li_Battery,storage_generic,
CAISO_Hydro,hydro_noncurtailable,
NW_Hydro,hydro_noncurtailable,
SW_Hydro,hydro_noncurtailable,
LDWP_Hydro,hydro_noncurtailable,
BANC_Hydro,hydro_noncurtailable,
IID_Hydro,hydro_noncurtailable,
BANC_Biomass_for_Other,must_run,
BANC_Geothermal_for_Other,must_run,
BANC_Small_Hydro_for_Other,must_run,
BANC_Solar_for_Other,variable,
BANC_Wind_for_Other,variable,
CAISO_Biomass_for_Other,must_run,
CAISO_Geothermal_for_Other,must_run,
CAISO_Small_Hydro_for_Other,must_run,
CAISO_Solar_for_Other,variable,
CAISO_Wind_for_Other,variable,
IID_Biomass_for_Other,must_run,
IID_Geothermal_for_Other,must_run,
IID_Small_Hydro_for_Other,must_run,
IID_Solar_for_Other,variable,
IID_Wind_for_Other,variable,
LDWP_Biomass_for_Other,must_run,
LDWP_Geothermal_for_Other,must_run,
LDWP_Small_Hydro_for_Other,must_run,
LDWP_Solar_for_Other,variable,
LDWP_Wind_for_Other,variable,
NW_Biomass_for_Other,must_run,
NW_Geothermal_for_Other,must_run,
NW_Small_Hydro_for_Other,must_run,
NW_Solar_for_Other,variable,
NW_Wind_for_Other,variable,
SW_Biomass_for_Other,must_run,
SW_Geothermal_for_Other,must_run,
SW_Small_Hydro_for_Other,must_run,
SW_Solar_for_Other,variable,
SW_Wind_for_Other,variable,
BANC_Small_Hydro_for_CAISO,must_run,
CAISO_Biomass_for_CAISO,must_run,
CAISO_Geothermal_for_CAISO,must_run,
CAISO_Small_Hydro_for_CAISO,must_run,
CAISO_Solar_for_CAISO,variable,
CAISO_Wind_for_CAISO,variable,
IID_Geothermal_for_CAISO,must_run,
IID_Solar_for_CAISO,variable,
LDWP_Wind_for_CAISO,variable,
NW_Biomass_for_CAISO,must_run,
NW_Geothermal_for_CAISO,must_run,
NW_Small_Hydro_for_CAISO,must_run,
NW_Wind_for_CAISO,variable,
SW_Solar_for_CAISO,variable,
SW_Wind_for_CAISO,variable,
Customer_PV,variable_no_curtailment,
Northern_California_Solar,variable,
Solano_Solar,variable,
Central_Valley_North_Los_Banos_Solar,variable,
Westlands_Solar,variable,
Greater_Carrizo_Solar,variable,
Tehachapi_Solar,variable,
Kramer_Inyokern_Solar,variable,
Mountain_Pass_El_Dorado_Solar,variable,
Southern_California_Desert_Solar,variable,
Riverside_East_Palm_Springs_Solar,variable,
Greater_Imperial_Solar,variable,
Distributed_Solar,variable,
Baja_California_Solar,variable,
Utah_Solar,variable,
Southern_Nevada_Solar,variable,
Arizona_Solar,variable,
New_Mexico_Solar,variable,
Northern_California_Wind,variable,
Solano_Wind,variable,
Central_Valley_North_Los_Banos_Wind,variable,
Greater_Carrizo_Wind,variable,
Tehachapi_Wind,variable,
Kramer_Inyokern_Wind,variable,
Southern_California_Desert_Wind,variable,
Riverside_East_Palm_Springs_Wind,variable,
Greater_Imperial_Wind,variable,
Distributed_Wind,variable,
Baja_California_Wind,variable,
Pacific_Northwest_Wind,variable,
NW_Ext_Tx_Wind,variable,
Idaho_Wind,variable,
Utah_Wind,variable,
Wyoming_Wind,variable,
Southern_Nevada_Wind,variable,
Arizona_Wind,variable,
New_Mexico_Wind,variable,
SW_Ext_Tx_Wind,variable,
InState_Biomass,must_run,
Greater_Imperial_Geothermal,must_run,
Northern_California_Geothermal,must_run,
Pacific_Northwest_Geothermal,must_run,
Southern_Nevada_Geothermal,must_run,
Agnews,must_run,
AguaMansa,dispatchable_capacity_commit,
Alameda,dispatchable_capacity_commit,
Alamitos,dispatchable_capacity_commit,
Anaheim,dispatchable_capacity_commit,
BadgerCreek,must_run,
Barre,dispatchable_capacity_commit,
BearMountain,must_run,
Blythe,dispatchable_capacity_commit,
Border,dispatchable_capacity_commit,
Enterprise,dispatchable_capacity_commit,
